Province,ProvinceEn,sumCases
กรุงเทพมหานคร,Bangkok,184149
กระบี่,Krabi,1101
กาญจนบุรี,Kanchanaburi,4924
กาฬสินธุ์,Kalasin,3159
กำแพงเพชร,Kamphaeng Phet,2717
ขอนแก่น,Khon Kaen,4616
จันทบุรี,Chanthaburi,2835
ฉะเชิงเทรา,Chachoengsao,13739
ชลบุรี,Chonburi,29429
ชัยนาท,Chainat,953
ชัยภูมิ,Chaiyaphum,3392
ชุมพร,Chumphon,1023
เชียงราย,Chiang Rai,1826
เชียงใหม่,Chiang Mai,9423
ตรัง,Trang,2493
ตราด,Trat,1136
ตาก,Tak,5369
นครนายก,Nakhon Nayok,3305
นครปฐม,Nakhon Pathom,13996
นครพนม,Nakhon Phanom,2241
นครราชสีมา,Nakhon Ratchasima,5798
นครศรีธรรมราช,Nakhon Si Thammarat,3796
นครสวรรค์,Nakhon Sawan,3937
นนทบุรี,Nonthaburi,34202
นราธิวาส,Narathiwat,6765
น่าน,Nan,1150
บึงกาฬ,Bueng Kan,567
บุรีรัมย์,Buriram,4004
ปทุมธานี,Pathum Thani,22231
ประจวบคีรีขันธ์,Prachuap Khiri Khan,4888
ปราจีนบุรี,Prachinburi,3463
ปัตตานี,Pattani,9304
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,8646
พะเยา,Phayao,939
พังงา,Phang Nga,641
พัทลุง,Phatthalung,1584
พิจิตร,Phichit,1508
พิษณุโลก,Phitsanulok,1969
เพชรบุรี,Phetchaburi,12114
เพชรบูรณ์,Phetchabun,2277
แพร่,Phrae,648
ภูเก็ต,Phuket,1382
มหาสารคาม,Maha Sarakham,3885
มุกดาหาร,Mukdahan,833
แม่ฮ่องสอน,Mae Hong Son,177
ยโสธร,Yasothon,1688
ยะลา,Yala,7580
ร้อยเอ็ด,Roi Et,4227
ระนอง,Ranong,2478
ระยอง,Rayong,8771
ราชบุรี,Ratchaburi,5818
ลพบุรี,Lopburi,4726
ลำปาง,Lampang,1314
ลำพูน,Lamphun,654
เลย,Loei,1254
ศรีสะเกษ,Sisaket,4482
สกลนคร,Sakon Nakhon,2632
สงขลา,Songkhla,13157
สตูล,Satun,775
สมุทรปราการ,Samut Prakan,43083
สมุทรสงคราม,Samut Songkhram,2210
สมุทรสาคร,Samut Sakhon,51972
สระแก้ว,Sa Kaeo,4060
สระบุรี,Saraburi,7980
สิงห์บุรี,Sing Buri,865
สุโขทัย,Sukhothai,2213
สุพรรณบุรี,Suphan Buri,5923
สุราษฎร์ธานี,Surat Thani,3341
สุรินทร์,Surin,4284
หนองคาย,Nong Khai,954
หนองบัวลำภู,Nong Bua Lamphu,1270
อ่างทอง,Ang Thong,3204
อำนาจเจริญ,Amnat Charoen,1012
อุดรธานี,Udon Thani,4080
อุตรดิตถ์,Uttaradit,1640
อุทัยธานี,Uthai Thani,1053
อุบลราชธานี,Ubon Ratchathani,5453
ไม่พบข้อมูล,Unknown,2683
Unknown,Unknown,0
